Type,Gender,Breed1,Color1,Color2,State,Age,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,is_adopted
Dog,Male,Schnauzer,Gray,NoColor,Kuala Lumpur,60.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Cocker Spaniel,Black,White,Selangor,36.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Cat,Female,Sphynx (hairless cat),Yellow,Cream,Kuala Lumpur,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Medium Hair,Yellow,NoColor,Selangor,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,150.0,0.0,3.0,1
Dog,Male,Basenji,Brown,NoColor,Selangor,42.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Yellow,NoColor,Selangor,6.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Black,NoColor,Selangor,72.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0
Dog,Female,Mixed Breed,Black,White,Selangor,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Male,Domestic Short Hair,Brown,NoColor,Kuala Lumpur,36.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Black,Brown,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,Yellow,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1
Cat,Female,Abyssinian,White,NoColor,Kuala Lumpur,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,NoColor,Selangor,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,12.0,1
Dog,Female,Mixed Breed,Black,Brown,Kuala Lumpur,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Cocker Spaniel,Cream,White,Selangor,84.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Mixed,Domestic Short Hair,Black,Gray,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,16.0,1
Dog,Male,Siberian Husky,Black,Cream,Selangor,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,1
Dog,Female,Mixed Breed,Black,White,Kuala Lumpur,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Male,Labrador Retriever,Black,NoColor,Selangor,9.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Whippet,Golden,Cream,Selangor,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,1
Cat,Female,Domestic Medium Hair,Yellow,NoColor,Kuala Lumpur,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0
Dog,Male,Jack Russell Terrier,Brown,White,Selangor,48.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Brown,Gray,Johor,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,1
Cat,Female,Tabby,Black,Gray,Kuala Lumpur,5.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Brown,NoColor,Selangor,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,350.0,0.0,3.0,0
Cat,Female,Domestic Short Hair,Black,Brown,Pahang,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Mixed,Tabby,Black,Golden,Johor,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,Cream,Selangor,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,Gray,Selangor,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Black,White,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,18.0,1
Cat,Male,Domestic Long Hair,Black,White,Selangor,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0
Cat,Male,Siamese,White,NoColor,Selangor,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,1
Dog,Male,Terrier,Black,NoColor,Johor,24.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Golden,Cream,Selangor,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,50.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Black,White,Pulau Pinang,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Brown,Yellow,Kuala Lumpur,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,NoColor,Selangor,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,150.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Black,Brown,Kuala Lumpur,15.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,50.0,0.0,1.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,NoColor,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Brown,Yellow,Selangor,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Golden,White,Selangor,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,30.0,0.0,1.0,1
Dog,Male,Shetland Sheepdog Sheltie,Black,Brown,Selangor,12.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Mixed,Mixed Breed,Black,Brown,Kuala Lumpur,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0
Cat,Male,British Shorthair,Golden,Yellow,Selangor,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1
Dog,Mixed,Mixed Breed,Brown,Yellow,Kuala Lumpur,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Female,Mixed Breed,Black,Brown,Pulau Pinang,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Black,Brown,Selangor,48.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Male,Siberian Husky,Black,White,Selangor,28.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,50.0,0.0,2.0,1
Dog,Male,Mixed Breed,Yellow,NoColor,Selangor,84.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0
Cat,Female,Domestic Short Hair,Black,White,Kedah,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,53.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Cream,White,Kuala Lumpur,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Mixed,Domestic Short Hair,Black,Brown,Selangor,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,5.0,0
Dog,Mixed,Mixed Breed,Brown,NoColor,Kuala Lumpur,12.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,7.0,0
Dog,Male,German Shepherd Dog,Black,NoColor,Selangor,36.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Cream,NoColor,Negeri Sembilan,24.0,2.0,2.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,0
Dog,Female,Spitz,Black,Brown,Selangor,24.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Golden,NoColor,Kuala Lumpur,24.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0
Dog,Female,Miniature Pinscher,Cream,NoColor,Selangor,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,1
Cat,Male,Bengal,Golden,Cream,Selangor,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,Golden,White,Selangor,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Male,Domestic Medium Hair,Gray,NoColor,Perak,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Male,Spitz,White,NoColor,Perak,60.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Male,Mixed Breed,Golden,NoColor,Selangor,60.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,Black,Brown,Pulau Pinang,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,11.0,1
Dog,Male,Mixed Breed,Black,NoColor,Selangor,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Brown,Yellow,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1
Cat,Mixed,Domestic Medium Hair,Brown,Gray,Kuala Lumpur,8.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0
Dog,Female,Cocker Spaniel,Brown,NoColor,Perak,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,Black,Yellow,Selangor,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0
Cat,Male,Persian,Yellow,NoColor,Kuala Lumpur,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,0.0,0.0,0
Dog,Mixed,Mixed Breed,Black,Brown,Selangor,1.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Yellow,Cream,Kuala Lumpur,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1
Cat,Female,Tonkinese,Brown,NoColor,Kuala Lumpur,62.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Mixed,Domestic Medium Hair,Golden,NoColor,Kuala Lumpur,17.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,0
Cat,Mixed,Domestic Short Hair,Black,Brown,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,5.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,9.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,100.0,1.0,8.0,0
Cat,Female,Domestic Short Hair,Black,White,Selangor,9.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Cat,Male,Domestic Short Hair,Yellow,White,Selangor,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,0.0,3.0,0
Dog,Female,Mixed Breed,Brown,White,Selangor,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,50.0,0.0,3.0,1
Cat,Male,Domestic Medium Hair,Black,Yellow,Selangor,14.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,7.0,0
Dog,Female,Mixed Breed,Black,NoColor,Selangor,72.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Golden,Yellow,Negeri Sembilan,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,10.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,1
Cat,Female,Domestic Long Hair,Brown,White,Selangor,89.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Rat Terrier,Black,Brown,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Female,Tabby,Black,Brown,Selangor,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,30.0,0.0,0.0,0
Cat,Male,Oriental Short Hair,Black,White,Pulau Pinang,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Male,Mixed Breed,Brown,Gray,Kuala Lumpur,24.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Brown,Golden,Kuala Lumpur,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0
Dog,Male,Mixed Breed,Black,Brown,Selangor,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,50.0,0.0,1.0,0
Cat,Female,Domestic Short Hair,Golden,Cream,Kuala Lumpur,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0
Cat,Female,Domestic Short Hair,Black,Brown,Perak,24.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Brown,White,Selangor,36.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Male,Boxer,Black,Brown,Selangor,36.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1
Dog,Male,Mixed Breed,White,NoColor,Selangor,53.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Female,German Shepherd Dog,Black,Brown,Perak,72.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Irish Wolfhound,Black,White,Selangor,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Female,Domestic Short Hair,Yellow,Gray,Kuala Lumpur,24.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Kuala Lumpur,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Male,Domestic Short Hair,Black,White,Selangor,12.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Yellow,White,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Black,White,Selangor,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,0.0,4.0,1
Dog,Female,Bull Terrier,White,NoColor,Selangor,17.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Gray,White,Selangor,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0
Dog,Male,Shih Tzu,Black,White,Kuala Lumpur,24.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Cream,White,Kuala Lumpur,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,1
Dog,Female,Terrier,Cream,NoColor,Kuala Lumpur,12.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,White,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Male,Shih Tzu,Brown,White,Selangor,9.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Black,White,Kuala Lumpur,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,29.0,1
Cat,Mixed,Domestic Short Hair,Brown,NoColor,Kuala Lumpur,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1
Cat,Female,Domestic Medium Hair,Black,Brown,Kuala Lumpur,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,1
Cat,Female,Domestic Short Hair,Gray,NoColor,Terengganu,12.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Mixed,Calico,Black,Gray,Selangor,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1
Dog,Female,Labrador Retriever,Brown,Golden,Selangor,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Mixed,Mixed Breed,Brown,Cream,Selangor,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,7.0,1
Dog,Mixed,Mixed Breed,Brown,White,Negeri Sembilan,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,23.0,1
Dog,Female,Mixed Breed,Black,Brown,Kuala Lumpur,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,0
Dog,Male,Mixed Breed,Cream,NoColor,Kuala Lumpur,5.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,10.0,1
Cat,Female,Domestic Medium Hair,Black,Golden,Kuala Lumpur,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Male,Tabby,Yellow,Gray,Kuala Lumpur,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,100.0,0.0,3.0,0
Cat,Male,Russian Blue,Black,Brown,Selangor,6.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Black,Brown,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Cat,Male,Oriental Short Hair,Gray,White,Kuala Lumpur,84.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0
Dog,Female,Shih Tzu,White,NoColor,Negeri Sembilan,54.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,180.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,White,Selangor,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Black,White,Selangor,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,15.0,1
Cat,Female,Domestic Short Hair,White,NoColor,Selangor,53.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0
Cat,Mixed,Domestic Short Hair,Black,Gray,Johor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Black,Yellow,Kuala Lumpur,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Male,Poodle,Brown,NoColor,Kuala Lumpur,36.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,150.0,0.0,3.0,1
Dog,Mixed,Mixed Breed,Black,Brown,Selangor,24.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,48.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Short Hair,Black,NoColor,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Terrier,Golden,NoColor,Perak,41.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,25.0,0.0,7.0,1
Dog,Mixed,Mixed Breed,Brown,Yellow,Pulau Pinang,3.0,2.0,1.0,3.0,3.0,3.0,1.0,5.0,0.0,0.0,1.0,0
Dog,Male,Mixed Breed,Brown,Cream,Kuala Lumpur,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,Golden,Selangor,18.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Male,Mixed Breed,Brown,Cream,Pulau Pinang,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,200.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,White,NoColor,Selangor,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Long Hair,Black,Brown,Selangor,72.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,British Shorthair,Gray,NoColor,Pulau Pinang,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1
Cat,Female,Domestic Short Hair,Golden,NoColor,Kuala Lumpur,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,0.0,1.0,1
Dog,Female,Mixed Breed,Brown,White,Selangor,24.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Black,NoColor,Selangor,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Female,Mixed Breed,Brown,White,Selangor,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Cat,Female,Domestic Short Hair,Brown,NoColor,Selangor,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,5.0,0
Cat,Female,Abyssinian,Black,Gray,Kuala Lumpur,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Yellow Labrador Retriever,Black,Brown,Selangor,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Mixed Breed,Black,Brown,Kuala Lumpur,48.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,1
Cat,Mixed,Domestic Short Hair,Cream,White,Kuala Lumpur,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Black,Brown,Johor,7.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Brown,White,Selangor,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,6.0,1
Cat,Male,Domestic Short Hair,Black,White,Selangor,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Male,Tabby,Black,Brown,Kuala Lumpur,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Male,Domestic Medium Hair,Black,NoColor,Selangor,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Brown,White,Selangor,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Male,Domestic Short Hair,Black,Gray,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,14.0,1
Cat,Mixed,Domestic Medium Hair,Black,Gray,Selangor,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,200.0,0.0,11.0,1
Dog,Female,Mixed Breed,Cream,White,Perak,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Labrador Retriever,Brown,NoColor,Selangor,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1
Dog,Female,Mixed Breed,Black,NoColor,Selangor,24.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0
Dog,Female,Mixed Breed,Black,White,Selangor,24.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0
Dog,Male,Mixed Breed,Brown,Yellow,Selangor,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Male,Domestic Medium Hair,Cream,NoColor,Pulau Pinang,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,6.0,0
Dog,Male,Mixed Breed,Brown,White,Selangor,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Black,White,Kuala Lumpur,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Mixed,Poodle,Brown,NoColor,Kuala Lumpur,24.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0
